site,treatment,camera_number,date,day,month,year,weather_conditions,wave_conditions,time_deployed,time_retrieved,latitude,longitude,predation,deployment_data_entered_by,deployment_data_checked_by,total_sec_observed,first_predator,bait_consumer,sec_to_approach,sec_to_predation,cama,casa,casp,hesa,liem,lipo,mysp,ople,ovoc,pasp,unknown_crab,taad,mosa,fusp,unknown_fish,sand,shell_debris,pebbles,cobble,small_boulder,medium_boulder,large_boulder,bedrock,kelp,filamentous_red_algae,large_folios_algae,other_algae,unknown_egg_case,unknown_cover,video_data_entered_by,notes
Bayside,Berm,766,6/13/2023,13,6,2023,clear,small_chop,1899-12-31T15:36:00Z,1899-12-31T16:43:00Z,42.323255,-71.04496,1,LD,AJ,3951,CAMA,CAMA,209.0,NA,7,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,60,0,0,0,0,0,0,0,0,0,0,40,LD,"Low visibility, difficult to see anything"
Bayside,Berm,11,6/13/2023,13,6,2023,clear,small_chop,1899-12-31T15:38:00Z,1899-12-31T16:42:00Z,42.323263,-71.045082,1,LD,AJ,3776,CAMA,CAMA,212.0,NA,5,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,4,84,0,0,0,0,0,0,0,0,0,0,12,LD,NA
Bayside,Berm,B05,6/13/2023,13,6,2023,clear,small_chop,1899-12-31T15:40:00Z,1899-12-31T16:41:00Z,42.321482,-71.04262,1,LD,AJ,1643,NOSP,NOSP,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,LD,No visibility
Bayside,Berm,980,6/13/2023,13,6,2023,clear,small_chop,1899-12-31T15:26:00Z,1899-12-31T16:40:00Z,42.323383,-71.045374,1,LD,AJ,2988,NOSP,NOSP,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,LD,No visibility
Bayside,Berm,6A,07/26/2023,26,7,2023,clear,flat,1899-12-31T13:21:00Z,1899-12-31T14:27:00Z,42.324998,-71.045381,1,AJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,video data not usable
Bayside,Berm,11,07/26/2023,26,7,2023,clear,flat,1899-12-31T13:23:00Z,1899-12-31T14:27:00Z,42.32336,-71.04549,1,AJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,video data not usable
Bayside,Berm,3A,07/26/2023,26,7,2023,clear,flat,1899-12-31T13:24:00Z,1899-12-31T14:27:00Z,42.323342,-71.045365,1,AJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,video data not usable
Bayside,Berm,7A,07/26/2023,26,7,2023,clear,flat,1899-12-31T13:24:00Z,1899-12-31T14:27:00Z,42.32326,-71.0452,1,AJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,video data not usable
Bayside,Berm,2A,07/26/2023,26,7,2023,clear,flat,1899-12-31T13:24:00Z,1899-12-31T14:27:00Z,42.326453,-71.044536,1,AJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,video data not usable
Bayside,Control,101,6/13/2023,13,6,2023,clear,small_chop,1899-12-31T16:02:00Z,1899-12-31T17:09:00Z,42.321482,-71.042628,1,LD,AJ,3290,NOSP,NOSP,NA,NA,3,0,NA,0,0,0,NA,NA,0,0,0,0,NA,0,0,NA,3,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LD,"Visibility bad at beginning, gets a little better. Camera looks like it was pointing straight down, not at the squid"
Bayside,Control,102,6/13/2023,13,6,2023,clear,small_chop,1899-12-31T16:05:00Z,1899-12-31T17:09:00Z,42.322268,-71.043214,1,LD,AJ,3068,CAMA,CAMA,129.0,172.0,15,0,NA,0,0,0,NA,NA,0,0,0,0,NA,0,0,NA,4,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,LD,NA
Bayside,Control,103,6/13/2023,13,6,2023,clear,small_chop,1899-12-31T16:04:00Z,1899-12-31T17:11:00Z,42.32207,-71.04325,1,LD,AJ,3864,NOSP,NOSP,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,LD,"Poor visibility for first 20 minutes of video, not possible to see when bait was eaten"
Bayside,Control,1A,07/26/2023,26,7,2023,clear,flat,1899-12-31T13:03:00Z,1899-12-31T14:10:00Z,42.321926,-71.042995,1,AJ,NA,4045,CAMA,CAMA,NA,840.0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,22.5,3.5,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,AJ,Poor visibility. alternates between ok and very bad throughout video. Could not see when the first species interacted with the bait.
Bayside,Control,4A,07/26/2023,26,7,2023,clear,flat,1899-12-31T13:03:00Z,1899-12-31T14:10:00Z,42.32196,-71.04307,1,AJ,NA,3964,CAMA,CAMA,113.0,998.0,42,NA,NA,NA,NA,NA,1,NA,NA,NA,10,NA,NA,NA,1,15,1,4.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,AJ,Poor visibility. Lots of wave action - crabs being thrown everywhere. Hard to count.
Bayside,Control,5A,07/26/2023,26,7,2023,clear,flat,1899-12-31T13:05:00Z,1899-12-31T14:10:00Z,42.322036,-71.043116,1,AJ,NA,3941,CAMA,CAMA,40.0,2355.0,43,NA,NA,NA,NA,NA,NA,1,NA,NA,10,NA,NA,NA,1,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,AJ,poor visibility - hard to count. Visibility got worse as the tide came in.
Bayside,Control,15,07/26/2023,26,7,2023,clear,flat,1899-12-31T13:08:00Z,1899-12-31T14:10:00Z,42.321168,-71.042999,1,AJ,NA,3845,CAMA,CAMA,340.0,2935.0,31,NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,9,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,AJ,poor visibility that got progressively worse throughout
Bayside,Control,102,07/26/2023,26,7,2023,clear,flat,1899-12-31T13:07:00Z,1899-12-31T14:10:00Z,42.321111,-71.042921,1,AJ,NA,3192,CAMA,CAMA,111.0,1668.0,18,NA,NA,2,NA,NA,NA,1,NA,NA,9,NA,NA,NA,NA,NA,NA,10,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,AJ,poor visibility - hard to count what is going on
Coughlin,Berm,5A,6/16/2023,16,6,2023,NA,NA,1899-12-31T06:39:00Z,1899-12-31T07:39:00Z,42.36294,-70.97565,1,Amy,NA,3617,CAMA,CAMA,450.0,531.0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,21,LD,NA
Coughlin,Berm,3A,6/16/2023,16,6,2023,NA,NA,1899-12-31T06:40:00Z,1899-12-31T07:40:00Z,42.36304,-70.97555,1,Amy,NA,3635,CAMA,CAMA,144.0,167.0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,54,0,0,0,0,0,0,0,0,0,0,37,LD,NA
Coughlin,Berm,6A,6/16/2023,16,6,2023,NA,NA,1899-12-31T06:43:00Z,1899-12-31T07:43:00Z,42.36308,-70.97551,1,Amy,NA,3609,CAMA,CAMA,57.0,68.0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,50,0,0,0,0,0,0,3,0,0,0,30,LD,NA
Coughlin,Berm,4A,6/16/2023,16,6,2023,NA,NA,1899-12-31T06:43:00Z,1899-12-31T07:43:00Z,42.36317,-70.97549,1,Amy,NA,3685,CAMA,CAMA,553.0,582.0,19,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,22,LD,Camera angled too far up to see anything within the rebar square
Coughlin,Berm,2A,6/21/2023,21,6,2023,NA,NA,1899-12-31T09:08:00Z,1899-12-31T10:08:00Z,42.36165,-70.97631,1,Amy,NA,3588,NOSP,NOSP,NA,NA,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,5,2,0,0,0,0,0,0,0,37,0,0,35,LD,"No visibility for first 2 videos, count started after bait was eaten"
Coughlin,Control,11,6/16/2023,16,6,2023,NA,NA,1899-12-31T06:55:00Z,1899-12-31T07:58:00Z,42.36145,-70.97581,1,Amy,NA,3877,CAMA,CAMA,23.0,259.0,12,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,67,17,0,0,0,0,0,0,0,0,0,16,ML,NA
Coughlin,Control,7A,6/16/2023,16,6,2023,NA,NA,1899-12-31T06:58:00Z,1899-12-31T08:01:00Z,42.3615,-70.97581,1,Amy,NA,3215,CAMA,CAMA,227.0,367.0,7,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,30,ML,NA
Coughlin,Control,13,6/16/2023,16,6,2023,NA,NA,1899-12-31T07:02:00Z,1899-12-31T07:58:00Z,42.36171,-70.9759,1,Amy,NA,3356,CAMA,CAMA,476.0,497.0,3,0,NA,0,0,0,NA,NA,0,0,0,0,3,0,0,0,2,0,78,0,0,0,0,0,0,0,0,0,20,ML,bait eaten early on so nothing really showed up afterwards
Coughlin,Control,2A,6/16/2023,16,6,2023,NA,NA,1899-12-31T07:02:00Z,1899-12-31T08:01:00Z,42.36171,-70.9758,1,Amy,NA,3587,CAMA,CAMA,187.0,449.0,9,0,NA,1,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,32,ML,NA
Coughlin,Control,5A,6/21/2023,21,6,2023,NA,NA,1899-12-31T09:17:00Z,1899-12-31T10:21:00Z,42.363,-70.97588,1,Amy,NA,3100,CAMA,CAMA,96.0,106.0,11,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,13,ML,NA
Duxbury_Beach,Berm,5A,6/28/2023,28,6,2023,Windy,Choppy,1899-12-31T15:00:00Z,1899-12-31T16:08:00Z,42.043802,-70.644506,1,Amy,LD,3943,CAMA,NOSP,1098.0,NA,2,0,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,CRM,"No Visibility, cannot see bait for much of video, benthos cannot be seen at all. CAMA at 1098 was persistent and potentially consumer, however visibility prevents conclusive determination."
Duxbury_Beach,Berm,13,6/28/2023,28,6,2023,Windy,Choppy,1899-12-31T15:01:00Z,1899-12-31T16:09:00Z,42.043631,-70.640149,0,Amy,LD,3989,UCRA,NOSP,1937.0,NA,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,CRM,"No vis for much of video. First crab is briefly seen cavorting around BRIV, and another/same crab is seen clinging to BRIV later in the video. Likely CAMA, but impossible to confirm."
Duxbury_Beach,Berm,7A,6/28/2023,28,6,2023,Windy,Choppy,1899-12-31T15:02:00Z,1899-12-31T16:05:00Z,42.043376,-70.640231,1,Amy,LD,0,NOSP,NOSP,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,CRM,"No data, camera did not record"
Duxbury_Beach,Berm,1A,6/28/2023,28,6,2023,Windy,Choppy,1899-12-31T15:04:00Z,1899-12-31T16:05:00Z,42.043208,-70.640306,0,Amy,LD,3606,NOSP,NOSP,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,CRM,"No Visibility, cannot see bait or benthos"
Duxbury_Beach,Berm,6A,6/28/2023,28,6,2023,Windy,Choppy,1899-12-31T15:04:00Z,1899-12-31T16:05:00Z,42.043344,-70.640265,1,Amy,LD,3597,CAMA,NOSP,89.0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,CRM,"No Visibility, cannot see bait or benthos; bait quickly targeted by CAMA, which dissapears and reappears frequently due to poor visibility. Likely only one individual, and this islikely the consumer of bait. Impossible to confirm the moment that the bait is actualy removed entirely."
Duxbury_Beach,Berm,2A,07/19/2023,19,7,2023,clear,flat,1899-12-31T08:01:00Z,1899-12-31T10:09:00Z,42.04336,-70.64043,0,AJ,LD,4954,CAMA,NOSP,992.0,NA,43,0,NA,0,0,0,NA,NA,0,0,5,0,0,0,0,37,0,12,0,0,0,0,0,0,0,0,0,0,51,AJ,visibility poor at the beginning - difficult to see crabs moving in and out of frame
Duxbury_Beach,Berm,101,07/19/2023,19,7,2023,clear,flat,1899-12-31T08:02:00Z,1899-12-31T10:09:00Z,42.04345,-70.64049,1,AJ,LD,3189,CAMA,CAMA,217.0,1189.0,14,0,NA,0,0,0,NA,NA,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,AJ,Very poor visibility throughout
Duxbury_Beach,Berm,1A,07/19/2023,19,7,2023,clear,flat,1899-12-31T08:03:00Z,1899-12-31T10:09:00Z,42.04355,-70.64057,1,AJ,LD,5226,CAMA,CAMA,153.0,649.0,21,0,NA,0,0,0,1,1,0,0,14,0,0,0,0,14.5,2,27.5,0,0,0,0,0,0,0,0,5,0,51,AJ,Poor visibility at the beginning and part of the middle
Duxbury_Beach,Berm,5A,07/19/2023,19,7,2023,clear,flat,1899-12-31T08:04:00Z,1899-12-31T10:09:00Z,42.04365,-70.64064,1,AJ,LD,5588,CAMA,CAMA,76.0,2535.0,43,0,NA,0,0,0,2,4,0,0,13,0,NA,0,7,37.2,0,41.2,0,0,0,0,0,0,0,0,1.1,0,25,AJ,NA
Duxbury_Beach,Berm,7A,07/19/2023,19,7,2023,clear,flat,1899-12-31T08:08:00Z,1899-12-31T10:09:00Z,42.04375,-70.64072,1,AJ,LD,5975,CAMA,CAMA,164.0,803.0,25,0,NA,0,0,0,NA,NA,0,0,2,0,0,0,0,13.5,0,22.5,0,0,0,0,0,0,0,0,17,0,46,AJ,MYSP? -> pt 5 @ 11:06. issues w/ visibility throughout
Duxbury_Beach,Control,3A,6/28/2023,28,6,2023,Windy,Choppy,1899-12-31T15:22:00Z,1899-12-31T16:39:00Z,42.040567,-70.637123,1,Amy,LD,4909,UCRA,NOSP,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,CRM,"No visibility. A crab appears at somepoint clasped to the BRIV and feeding on squid. Unknown when it first appears, whether it eats the bait completly, and what it is."
Duxbury_Beach,Control,2A,6/28/2023,28,6,2023,Windy,Choppy,1899-12-31T15:23:00Z,1899-12-31T16:40:00Z,42.039452,-70.637009,1,Amy,LD,5487,CAMA,NOSP,1918.0,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,CRM,No visibility for much of video.Unknown what ultimatly consumes the bait. Likely CAMA but cannot be confirmed from the video
Duxbury_Beach,Control,4A,6/28/2023,28,6,2023,Windy,Choppy,1899-12-31T15:24:00Z,1899-12-31T16:40:00Z,42.039302,-70.636877,1,Amy,LD,4560,NOSP,NOSP,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,CRM,No Visibility
Duxbury_Beach,Control,480,6/28/2023,28,6,2023,Windy,Choppy,1899-12-31T15:26:00Z,1899-12-31T16:41:00Z,42.039238,-70.636837,1,Amy,LD,4412,NOSP,NOSP,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,CRM,No Visibility
Duxbury_Beach,Control,11,6/28/2023,28,6,2023,Windy,Choppy,1899-12-31T15:29:00Z,1899-12-31T16:43:00Z,42.039174,-70.636526,0,Amy,LD,4463,NOSP,NOSP,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,CRM,No Visibility
Duxbury_Beach,Control,4A,07/19/2023,19,7,2023,clear,flat,1899-12-31T08:23:00Z,1899-12-31T10:19:00Z,42.03873,-70.63711,0,AJ,LD,364,NOSP,NOSP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5,0,0,0,0,0,0,0,0,0,0,0,0,78.5,AJ,poor visibility; video stopped recording for some reason. species count data may not be usable
Duxbury_Beach,Control,103,07/19/2023,19,7,2023,clear,flat,1899-12-31T08:24:00Z,1899-12-31T10:19:00Z,42.0388,-70.63725,0,AJ,LD,2971,NOSP,NOSP,NA,NA,5,0,0,0,0,0,NA,NA,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,AJ,flounder pt 1 @ 6:30? poor visibility
Duxbury_Beach,Control,11,07/19/2023,19,7,2023,clear,flat,1899-12-31T08:25:00Z,1899-12-31T10:19:00Z,42.03895,-70.63727,0,AJ,LD,5572,NOSP,NOSP,NA,NA,7,0,0,0,0,0,NA,NA,0,0,0,0,1,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,36,AJ,NA
Duxbury_Beach,Control,3A,07/19/2023,19,7,2023,clear,flat,1899-12-31T08:26:00Z,1899-12-31T10:19:00Z,42.03903,-70.63735,1,AJ,LD,5102,CAMA,CAMA,2026.0,3864.0,4,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,80.5,0,0,0,0,0,0,0,0,0,0,0,0,19.5,AJ,NA
Duxbury_Beach,Control,6A,07/19/2023,19,7,2023,clear,flat,1899-12-31T08:26:00Z,1899-12-31T10:19:00Z,42.0435,-70.640253,0,AJ,LD,4993,CAMA,NOSP,2727.0,NA,1,0,0,0,0,0,NA,NA,0,0,3,0,0,0,0,67.5,0.5,0,0,0,0,0,0,0,0,0,2.5,0,29.5,AJ,NA
Trunk,Berm,102,7/11/2023,11,7,2023,clear,small_chop,1899-12-31T12:26:00Z,1899-12-31T13:26:00Z,41.532973,-70.643306,0,"ML

",NA,3578,NOSP,NOSP,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,66,6.5,0,0,0,0,0,0,0,0,NA,27.5,Amy,lots of wave action caused BRIV to move around a lot
Trunk,Berm,4A,7/11/2023,11,7,2023,clear,small_chop,1899-12-31T12:32:00Z,1899-12-31T13:32:00Z,41.532925,-70.6434,0,"ML

",NA,3596,NOSP,NOSP,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,2.5,0,63,0,0,0,0,0,0,0,0,0,NA,34.5,Amy,"lots of wave action, no animal species observed"
Trunk,Berm,11,7/11/2023,11,7,2023,clear,small_chop,1899-12-31T12:36:00Z,1899-12-31T13:36:00Z,41.532881,-70.643449,0,"ML

",NA,3658,NOSP,NOSP,NA,NA,0,1,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,8.5,0,42.5,21,0,0,0,0,0,0,0,0,NA,28,Amy,lots of wave action; no animals interacted with the bait
Trunk,Berm,1A,7/11/2023,11,7,2023,clear,small_chop,1899-12-31T12:38:00Z,1899-12-31T13:38:00Z,41.532735,-70.643572,0,"ML

",NA,3623,NOSP,NOSP,NA,NA,0,2,NA,0,0,0,NA,NA,NA,NA,1,0,NA,NA,0,5.5,0,74,0,0,0,0,0,0,0,0,0,NA,20.5,Amy,lots of wave action; no animals interacted with the bait
Trunk,Berm,3A,7/11/2023,11,7,2023,clear,small_chop,1899-12-31T12:40:00Z,1899-12-31T13:40:00Z,41.532656,-70.643641,0,"ML

",NA,3581,NOSP,NOSP,NA,NA,0,2,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,2,0,0,76,0,0,0,0,0,0,0,0,0,NA,24,Amy,lots of wave action; no animals interacted with the bait
Trunk,Control,5A,7/11/2023,11,7,2023,clear,small_chop,1899-12-31T12:57:00Z,1899-12-31T13:57:00Z,41.532436,-70.643863,0,"ML

",NA,3507,OVOC,NOSP,204.0,NA,0,2,NA,0,0,0,NA,NA,5,NA,0,0,NA,NA,0,52.5,0,0,18,0,0,0,0,0,0,0,0.5,NA,29,Amy,bait partially eaten
Trunk,Control,7A,7/11/2023,11,7,2023,clear,small_chop,1899-12-31T12:58:00Z,1899-12-31T13:58:00Z,41.532404,-70.643965,1,"ML

",NA,3614,OVOC,OVOC,1867.0,2393.0,0,1,NA,0,0,0,NA,NA,2,0,0,0,NA,0,0,77,0,0,0,0,0,0,0,0,0,0,0,1,22,Amy,NA
Trunk,Control,15,7/11/2023,11,7,2023,clear,small_chop,1899-12-31T12:59:00Z,1899-12-31T14:00:00Z,41.532325,-70.64408,0,"ML

",NA,3627,NOSP,NOSP,NA,NA,0,0,NA,0,0,0,NA,NA,0,1,3,0,NA,NA,0,78,0,0,0,0,0,0,0,0,0,0,0,NA,22,Amy,PASP may be same on in BRIV_13
Trunk,Control,13,7/11/2023,11,7,2023,clear,small_chop,1899-12-31T13:00:00Z,1899-12-31T14:02:00Z,41.532181,-70.644136,0,"ML

",NA,3691,NOSP,NOSP,NA,NA,0,0,NA,0,0,0,NA,NA,0,1,0,0,NA,NA,0,82,0,0,0,0,0,0,0,0,0,0,0,NA,18,Amy,PASP may be same on in BRIV_15
Trunk,Control,2A,7/11/2023,11,7,2023,clear,small_chop,1899-12-31T13:06:00Z,1899-12-31T14:06:00Z,41.532111,-70.644191,0,"ML

",NA,3628,NOSP,NOSP,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,79.5,0,0,0,0,0,0,0,0,0,0,0,NA,20.5,Amy,no animals observed
