kingdom,phylum,class,order,family,genus,species,aphia_id,classification_description,code,functional_group,common_name
Animalia,Ctenophora,Tentaculata,Cydippida,Cydippidae,Pleurobrachia,pileus,106386,Pleurobrachia pileus,PLPI,NA,NA
Animalia,Ctenophora,Tentaculata,Lobata,Bolinopsidae,Mnemiopsis,leidyi,106401,Mnemiopsis leidyi,MNLE,NA,lobate comb jelly
Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,forbesi,158489,Asterias forbesi,ASFO,NA,Forbes Star
Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,rubens,123776,Asterias rubens,ASRU,NA,Common Star
Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia,sanguinolenta,123974,Henricia sanguinolenta,HESG,NA,Blood Star
Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Crossaster,papposus,124154,Crossaster papposus,CRPA,NA,Spiny Sun Star
Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,endeca,124160,Solaster endeca,SOEN,NA,Smooth Sun Star
Animalia,Echinodermata,Echinoidea,Arbacioida,Arbaciidae,Arbacia,punctulata,158058,Arbacia punctulata,ARPL,NA,Purple Sea Urchin
Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,droebachiensis,124321,Strongylocentrotus droebachiensis,STDR,NA,Green Sea Urchin
Animalia,Echinodermata,Echinoidea,Echinolampadacea,Echinarachniidae,Echinarachnius,parma,158062,Echinarachnius parma,ECPA,NA,common sand dollar
Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,frondosa,124612,Cucumaria frondosa,CUFR,NA,orange footed cucumber
Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Psolidae,Psolus,fabricii,124703,Psolus fabricii,PSFA,NA,scarlet cucumber
Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiopholidae,Ophiopholis,aculeata,125125,Ophiopholis aculeata,OPAC,NA,daisy brittlestar
Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiopholidae,Ophiopholis,-,123622,Ophiopholis sp.,OPHI,NA,NA
Animalia,Mollusca,Bivalvia,Adapedonta,Hiatellidae,Hiatella,arctica,140103,Hiatella arctica,HIAR,NA,NA
Animalia,Mollusca,Bivalvia,Myida,Myidae,Mya,arenaria,140430,Mya arenaria,MYAR,NA,"Soft-shelled clam, steamer"
Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Geukensia,demissa,156859,Geukensia demissa,GEDE,NA,NA
Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Modiolus,modiolus,140467,Modiolus modiolus,MOMO,NA,Northern Horse Mussel
Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,edulis,140480,Mytilus edulis,MYED,NA,Blue Mussel
Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Crassostrea,virginica,140657,Crassostrea virginica,CRVI,NA,Native/eastern Oyster
Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostrea,edulis,138298,Ostrea edulis,OSED,NA,European flat Oyster
Animalia,Mollusca,Bivalvia,Pectinida,Anomiidae,Anomia,-,137650,Anomia sp.,ANSP,NA,jingle shell
Animalia,Mollusca,Bivalvia,Pectinida,Anomiidae,Anomia,simplex,156737,Anomia simplex,ANSI,NA,NA
Animalia,Mollusca,Bivalvia,Pectinida,Anomiidae,Heteranomia,squamula,138749,Heteranomia squamula,HESQ,NA,NA
Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Placopecten,magellanicus,156972,Placopecten magellanicus,PLMA,NA,Atlantic Sea Scallop
Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Spisula,solidissima,156996,Spisula solidissima,SPSO,NA,Atlantic surf clam
Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Mercenaria,mercenaria,141919,Mercenaria mercenaria,MERM,NA,Quahog
Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,-,138268,Octopus sp.,OCTO,NA,octopods
Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,fornicata,138963,Crepidula fornicata,CRFO,NA,Slipper Snail
Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,plana,160230,Crepidula plana,CRPL,NA,Eastern white slippersnail
Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,-,137722,Crepidula spp.,CRSP,NA,NA
Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Lacuna,vincta,140170,Lacuna vincta,LAVI,NA,NA
Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,littorea,140262,Littorina littorea,LILI,NA,Periwinkle Snail
Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,obtusata,140263,Littorina obtusata,LIOB,NA,NA
Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,saxatilis,140264,Littorina saxatilis,LISA,NA,NA
Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Euspira,heros,160315,Euspira heros,EUHE,NA,Moon Snail
Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Neverita,duplicata,160407,Neverita duplicatus,NEDU,NA,Southern Moon snail
Animalia,Mollusca,Gastropoda,Littorinimorpha,Vermetidae,Thylacodes,-,598651,Thylacodes spp.,THSP,NA,NA
Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum,undatum,138878,Buccinum undatum,BUUN,NA,Wavy Whelk
Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Neptunea,decemcostata,491164,Neptunea decemcostata,NEDE,NA,10-ring Whelk
Animalia,Mollusca,Gastropoda,Neogastropoda,Busyconidae,Busycon,carica,160185,Busycon carica,BUCR,NA,Knobbed Whelk
Animalia,Mollusca,Gastropoda,Neogastropoda,Busyconidae,Busycotypus,canaliculatus,160192,Busycotypus canaliculatus,BUCA,NA,Channeled Whelk
Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,lapillus,140403,Nucella lapillus,NULA,NA,Dog whelk
Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Urosalpinx,cinerea,140429,Urosalpinx cinerea,URCI,NA,NA
Animalia,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Ilyanassa,obsoleta,467490,Ilyanassa obsoleta,ILOB,NA,eastern mudsnail
Animalia,Mollusca,Gastropoda,Patellogastropoda,Lottiidae,Testudinalia,testudinalis,234208,Testudinalia testudinalis,TETE,NA,Plate Limpet
Animalia,Mollusca,Gastropoda,Trochida,Calliostomatidae,Calliostoma,occidentale,141765,Calliostoma occidentale,CAOC,NA,Stripped Whelk
Animalia,Mollusca,Polyplacophora,Chitonida,Ischnochitonidae,Stenosemus,albus,147773,Stenosemus albus,STAL,NA,White Chiton
Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Boreochiton,ruber,386411,Boreochiton ruber,BORU,NA,Red Chition
Animalia,Porifera,-,-,-,-,-,558,Unknown Poriferan,UNPR,NA,NA
Animalia,Porifera,Calcarea,Leucosolenida,Leucosoleniidae,Leucosolenia,-,131715,Leucosolenia sp.,LEUC,NA,NA
Animalia,Porifera,Calcarea,Leucosolenida,Syconidae,Sycon,-,131723,Sycon spp.,SYSP,NA,NA
Animalia,Porifera,Demospongiae,Chondrillida,Halisarcidae,Halisarca,dujardinii,132736,Halisarca dujardini,HADU,NA,NA
Animalia,Porifera,Demospongiae,Clionaida,Clionaidae,Cliona,-,132026,Cliona sp.,CLSP,NA,NA
Animalia,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,oculata,132833,Haliclona oculata,HAOC,NA,Finger Sponge
Animalia,Porifera,Demospongiae,Poecilosclerida,Hymedesmiidae,Hymedesmia,-,131950,Hymedesmia sp.,HYSP,NA,NA
Animalia,Porifera,Demospongiae,Poecilosclerida,Isodictyidae,Isodictya,palmata,133247,Isodictya palmata,ISPA,NA,Palmate Sponge
Animalia,Porifera,Demospongiae,Poecilosclerida,Microcionidae,Clathria,prolifera,167563,Clathria prolifera,CLPR,NA,Red Beard Sponge
Animalia,Porifera,Demospongiae,Suberitida,Halichondriidae,Halichondria,panicea,165853,Halichondria panicea,HAPA,NA,Breadcrumb Sponge
Chordata,Ascidiacea,-,-,-,-,-,1839,Unknown Ascidian Solitary,UASS,NA,NA
Chromista,Ochrophyta,Phaeophyceae,-,-,-,-,830,Unknown Brown Blade,UBBL,NA,NA
Chromista,Ochrophyta,Phaeophyceae,-,-,-,-,830,Unknown Brown Crust,UBCR,NA,NA
Chromista,Ochrophyta,Phaeophyceae,-,-,-,-,830,Unknown Brown Tube or Hollow,UBTH,NA,NA
Chromista,Ochrophyta,Phaeophyceae,-,-,-,-,830,Unknown Brown Filamentous,UBFI,NA,NA
Chromista,Ochrophyta,Phaeophyceae,-,-,-,-,830,Unknown Brown Compressed Branching,UBCB,NA,NA
Chromista,Ochrophyta,Phaeophyceae,-,-,-,-,830,Unknown Brown Algae,UBAL,NA,NA
Chromista,Ochrophyta,Phaeophyceae,Chordales,Chordaceae,Chorda,filum,145722,Chorda filum,CHFI,NA,Cord Weed
Chromista,Ochrophyta,Phaeophyceae,Desmarestiales,Arthrocladiaceae,Arthrocladia,villosa,145306,Arthrocladia villosa,ARVI,NA,NA
Chromista,Ochrophyta,Phaeophyceae,Desmarestiales,Desmarestiaceae,Desmarestia,aculeata,145307,Desmarestia aculeata,DEAC,NA,Sour or Stink Weed
Chromista,Ochrophyta,Phaeophyceae,Desmarestiales,Desmarestiaceae,Desmarestia,viridis,145310,Desmarestia viridis,DEVI,NA,Sour or Stink Weed
Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Leathesia,marina,494940,Leathesia marina,LEMA,NA,sea cauliflower
Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpaceae,Ectocarpus,-,144099,Ectocarpus sp.,ECTO,NA,NA
Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Colpomenia,peregrina,145856,Colpomenia peregrina,COPE,NA,Sea Potato
Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Scytosiphon,lomentaria,145869,Scytosiphon lomentaria,SCLO,NA,beanweed
Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Ascophyllum,nodosum,145541,Ascophyllum nodosum,ASNO,NA,knotted wrack
Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Fucus,-,144129,Fucus sp.,FUCU,NA,NA
Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Fucus,distichus,145544,Fucus distichus,FUDI,NA,rockweed
Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Fucus,spiralis,145547,Fucus spiralis,FUSP,NA,NA
Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Fucus,vesiculosus,145548,Fucus vesiculosus,FUVE,NA,NA
Chromista,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum,natans,145560,Sargassum natans,SANA,NA,NA
Chromista,Ochrophyta,Phaeophyceae,Laminariales,Agaraceae,Agarum,clathratum,157207,Agarum clathratum,AGCL,NA,Shotgun Kelp
Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,esculenta,145716,Alaria esculenta,ALES,NA,Winged Kelp
Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,digitata,145724,Laminaria digitata,LADI,NA,Fingered Kelp
Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,latissima,234483,Saccharina latissima,SALA,NA,Sugar Kelp
Chromista,Ochrophyta,Phaeophyceae,Ralfsiales,Pseudoralfsiaceae,Pseudoralfsia,verrucosa,1771402,Pseudoralfsia verrucosa,PSVE,NA,NA
Chromista,Ochrophyta,Phaeophyceae,Ralfsiales,Ralfsiaceae,Ralfsia,-,143985,Ralfsia sp.,RASP,NA,NA
Chromista,Ochrophyta,Phaeophyceae,Tilopteridales,Halosiphonaceae,Halosiphon,tomentosus,145723,Halosiphon tomentosus,HATO,NA,Hairy Shoelace
Chromista,Ochrophyta,Phaeophyceae,Tilopteridales,Phyllariaceae,Saccorhiza,dermatodea,145734,Saccorhiza dermatodea,SADE,NA,NA
Fungi,Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae,Verrucaria,-,147701,"Verrucaria sp. (black, high water mark)",VERR,NA,NA
Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Caloplaca,verruculifera,718753,Caloplaca verruculifera,CAVE,NA,NA
Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Xanthoria,-,147708,Xanthoria spp.,XASP,NA,NA
Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Codiaceae,Codium,fragile,145086,Codium fragile,COFR,NA,Green fleece
Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Bryopsidaceae,Bryopsis,plumosa,144457,Bryopsis plumosa,BRPL,NA,NA
Plantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Chaetomorpha,linum,145027,"Chaetomorpha linum (filament., unbranched)",CHLI,NA,NA
Plantae,Rhodophyta,Florideophyceae,Ahnfeltiales,Ahnfeltiaceae,Ahnfeltia,plicata,144422,Ahnfeltia plicata,AHPL,NA,Landlady's wig
Plantae,Rhodophyta,Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,Bonnemaisonia,hamifera,144442,Bonnemaisonia hamifera,BOHA,NA,hooked weed
Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Ceramium,-,143834,Ceramium spp.,CESP,NA,Banded weed
Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Dasysiphonia,japonica,836896,Dasysiphonia japonica,DAJA,NA,japan red algae
Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Grinnellia,americana,371057,Grinnellia americana,GRAM,NA,NA
Plantae,Rhodophyta,Florideophyceae,Ceramiales,Wrangeliaceae,Spermothamnion,repens,144702,Spermothamnion repens,SPRE,NA,NA
Plantae,Rhodophyta,Florideophyceae,Gigartinales,Cystocloniaceae,Cystoclonium,purpureum,145615,Cystoclonium purpureum,CYPU,NA,Purple claw weed
Plantae,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,Dumontia,contorta,145228,Dumontia contorta,DUCO,NA,tubular weed
Plantae,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Euthora,cristata,373772,Euthora cristata,EUCR,NA,delicate northern sea fan
Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Coccotylus,truncatus,145654,Coccotylus truncatus,COTR,NA,NA
Plantae,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,tikvahiae,157364,Gracilaria tikvahiae,GRTI,NA,NA
Plantae,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,-,144188,Gracilaria spp.,GRSP,NA,NA
Plantae,Rhodophyta,Florideophyceae,Rhodymeniales,Champiaceae,Champia,parvula,145804,Champia parvula,CHPA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Spartina,alterniflora,234072,Spartina alterniflora,SPAL,NA,smooth cordgrass
Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Calystegia,sepium,426081,Calystegia sepium,CASE,NA,hedge bindweed
Plantae,Chlorophyta,-,-,-,-,-,801,Unknown Green Blade,UGBL,NA,NA
Plantae,Chlorophyta,-,-,-,-,-,801,Unknown Green Crust,UGCR,NA,NA
Plantae,Chlorophyta,-,-,-,-,-,801,Unknown Green Tube or Hollow,UGTH,NA,NA
Plantae,Chlorophyta,-,-,-,-,-,801,Unknown Green Filamentous,UGFI,NA,NA
Plantae,Chlorophyta,-,-,-,-,-,801,Unknown Green Compressed Branching,UGCB,NA,NA
Plantae,Chlorophyta,-,-,-,-,-,801,Unknown Green Algae,UGAL,NA,NA
Plantae,Rhodophyta,-,-,-,-,-,852,Unknown Red Blade,URBL,NA,NA
Plantae,Rhodophyta,-,-,-,-,-,852,Unknown Red Crust,URCR,NA,NA
Plantae,Rhodophyta,-,-,-,-,-,852,Unknown Red Tube or Hollow,URTH,NA,NA
Plantae,Rhodophyta,-,-,-,-,-,852,Unknown Red Filamentous,URFI,NA,NA
Plantae,Rhodophyta,-,-,-,-,-,852,Unknown Red Compressed Branching,URCB,NA,NA
Plantae,Rhodophyta,-,-,-,-,-,852,Unknown Red Algae,URAL,NA,NA
Plantae,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Porphyra,-,143808,Porphyra spp.,POSP,NA,NA
Plantae,Rhodophyta,Florideophyceae,-,-,-,-,368670,Crustose Coralline Algae,NGCA,NA,NA
Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Phycodrys,rubens,144773,Phycodrys rubens,PHRU,NA,sea oak
Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Polysiphonia,-,143853,Polysiphonia sp.,POLS,NA,lobster horns
Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Vertebrata,lanosa,475211,Vertebrata lanosa,VELA,NA,NA
Plantae,Rhodophyta,Florideophyceae,Ceramiales,Wrangeliaceae,Ptilota,serrata,144687,Ptilota serrata,PTSE,NA,northern sea fern
Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Corallina,officinalis,145108,Corallina officinalis,COOF,NA,NA
Plantae,Rhodophyta,Florideophyceae,Corallinales,Lithophyllaceae,Titanoderma,-,144027,Titanoderma spp.,TISP,NA,NA
Plantae,Rhodophyta,Florideophyceae,Corallinales,Lithophyllaceae,Lithophyllum,orbiculatum,145157,Lithophyllum orbiculatum,LISP,NA,NA
Plantae,Rhodophyta,Florideophyceae,Corallinales,Mesophyllumaceae,Leptophyllum,foecundum,145134,Leptophyllum foecundum,LEFO,NA,NA
Plantae,Rhodophyta,Florideophyceae,Corallinales,Mesophyllumaceae,Leptophyllum,laeve,145135,Leptophyllum laeve,LELA,NA,NA
Plantae,Rhodophyta,Florideophyceae,Corallinales,Mesophyllumaceae,Clathromorphum,compactum,145105,Clathromorphum compactum,CLCO,NA,NA
Plantae,Rhodophyta,Florideophyceae,Corallinales,Mesophyllumaceae,Clathromorphum,circumscriptum,145104,Clathromorphum circumscriptum,CLCI,NA,NA
Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Chondrus,crispus,145625,Chondrus crispus,CHCR,NA,Irish moss
Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Mastocarpus,stellatus,145650,Mastocarpus stellatus,MAST,NA,false irish moss
Plantae,Rhodophyta,Florideophyceae,Gigartinales,Polyidaceae,Polyides,rotunda,145668,Polyides rotunda,PORO,NA,goat tang
Plantae,Rhodophyta,Florideophyceae,Halymeniales,Grateloupiaceae,Grateloupia,turuturu,295880,Grateloupia turuturu,GRTU,NA,NA
Plantae,Rhodophyta,Florideophyceae,Hapalidiales,Hapalidiaceae,Boreolithothamnion,glaciale,145170,Boreolithothamnion glaciale,BOGL,NA,NA
Plantae,Rhodophyta,Florideophyceae,Hapalidiales,Hapalidiaceae,Melobesia,membranacea,145182,Melobesia membranacea,MEME,NA,NA
Plantae,Rhodophyta,Florideophyceae,Hapalidiales,Hapalidiaceae,Phymatolithon,lenormandii,145202,Phymatolithon lenormandii,PHLE,NA,NA
Plantae,Rhodophyta,Florideophyceae,Hapalidiales,Hapalidiaceae,Phymatolithon,lamii,145201,Phymatolithon lamii,PHLS,NA,NA
Plantae,Rhodophyta,Florideophyceae,Hapalidiales,Hapalidiaceae,Phymatolithon,laevigatum,145200,Phymatolithon laevigatum,PHLV,NA,NA
Plantae,Rhodophyta,Florideophyceae,Hapalidiales,Hapalidiaceae,Phymatolithon,rugulosum,157333,Phymatolithon rugulosum,PHRG,NA,NA
Plantae,Rhodophyta,Florideophyceae,Hildenbrandiales,Hildenbrandiaceae,Hildenbrandia,rubra,145712,Hildenbrandia rubra,HIRU,NA,NA
Plantae,Rhodophyta,Florideophyceae,Palmariales,Palmariaceae,Palmaria,palmata,145771,Palmaria palmata,PAPA,NA,Dulse
Plantae,Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Zostera,marina,495077,Zostera marina,ZOMA,NA,marine eelgrass
